Date,Open,High,Low,Close,Adj Close,Volume,Identifier,Moving_Average_Percentage_Return
2022-11-14,0.015419897504809415,0.01658374729755911,0.016650214006675143,0.015510827354756191,0.015510827354756191,0.06379039530814208,Uber,4.876434326800678
2022-11-15,0.020072450218206372,0.023598671645282905,0.020770201401509328,0.023814267987173378,0.023814267987173378,0.12563812625626186,Uber,13.570682251284444
2022-11-16,0.022398729744205727,0.021426198471871546,0.020191359499527925,0.01873256637454843,0.01873256637454843,0.0708045583433038,Uber,7.955297317584073
2022-11-17,0.016250710715723215,0.015920394875177723,0.015322278764230576,0.014879764092886206,0.014879764092886206,0.05801018082207053,Uber,3.8923632717165417
2022-11-18,0.016616264218276094,0.015605305953955217,0.01634376791183627,0.015145473939722657,0.015145473939722657,0.03475859533588021,Uber,4.069088630449091
2022-11-21,0.014323224319947269,0.013300159765588567,0.013994350016214324,0.012787299840926959,0.012787299840926959,0.03636150080526839,Uber,1.4301957721083123
2022-11-22,0.013492411109033455,0.01203979775450099,0.011617694488206612,0.012222665624521682,0.012222665624521682,0.050327449266764496,Uber,0.4088344518438535
2022-11-23,0.013791504372050577,0.014063016949186418,0.014436990767410299,0.014580846058339845,0.014580846058339845,0.025762284241491604,Uber,2.6040089763708383
2022-11-25,0.01495463779644848,0.013864007426753474,0.014777487149945534,0.013617643904168673,0.013617643904168673,0.0,Uber,1.1499147389573512
2022-11-28,0.012960691161136764,0.013117743859321348,0.01304096144400134,0.011159826237175876,0.011159826237175876,0.01964098368161938,Uber,-1.8306549256868614
2022-11-29,0.012761291426724174,0.0117081215433103,0.012530220117412644,0.011159826237175876,0.011159826237175876,0.032540540468800914,Uber,-2.04081569467546
2022-11-30,0.011930478215810374,0.014726363045370252,0.01273451534916245,0.01574332267886028,0.01574332267886028,0.043055812697294076,Uber,2.6441834229062433
2022-12-01,0.016649497507344856,0.016252071086368416,0.014981782381695341,0.01308622421049577,0.01308622421049577,0.04268951014332915,Uber,-0.2686242881554345
2022-12-02,0.010534711767931122,0.013532337541760333,0.011202291369396392,0.014447987967410387,0.014447987967410387,0.035767918134033565,Uber,1.0698760302732435
2022-12-05,0.013957664478792622,0.013797677245473369,0.012768565636858811,0.010960545435804147,0.010960545435804147,0.040764099164471844,Uber,-2.5848398533025922
2022-12-06,0.011598158002326274,0.010480927785961559,0.009533866238844904,0.008369869677881907,0.008369869677881907,0.04835094173599541,Uber,-5.246855338607327
2022-12-07,0.007975811895653937,0.0071973465801885555,0.007218498630919307,0.006642752505933743,0.006642752505933743,0.0530657599351273,Uber,-6.862976884626196
2022-12-08,0.007676718632636829,0.007728025987614641,0.008090161317118386,0.006808825119595562,0.006808825119595562,0.03221471700141545,Uber,-6.494146415791493
2022-12-09,0.007277925502413419,0.007495848211442875,0.00796758547695417,0.007140957676874284,0.007140957676874284,0.030037804812498885,Uber,-5.999955299963151
2022-12-12,0.007344392080550958,0.008391372083798474,0.007524944725758195,0.008735223092915455,0.008735223092915455,0.037437182761748726,Uber,-4.247402597551773
2022-12-13,0.012694831187188418,0.012454391436939976,0.010248902797183407,0.008569150479253636,0.008569150479253636,0.0744383858532892,Uber,-4.470778558066037
2022-12-14,0.009504505161206487,0.010348254771006258,0.009772211758291072,0.010196624083004703,0.010196624083004703,0.047204255480105206,Uber,-2.473374998721009
2022-12-15,0.009205411898189379,0.00799336569132769,0.006741801097598657,0.006111332812260841,0.006111332812260841,0.047040016563245926,Uber,-6.556034966622898
2022-12-16,0.006148019028482511,0.005804311554145693,0.005992714251563808,0.00521455970355439,0.00521455970355439,0.058010512617862164,Uber,-7.213550430573277
2022-12-19,0.006015092210809215,0.0043781082743639945,0.0026899142781571933,0.0018267607401452478,0.0018267607401452478,0.10091801259629546,Uber,-10.491130036243296
2022-12-20,0.001694859710896376,0.0019237144334689478,0.002417518471014665,0.0018599689278551578,0.0018599689278551578,0.07742819773171127,Uber,-10.161970696136274
2022-12-21,0.003123859447844406,0.0032172446982953453,0.0033062095482760817,0.0031885244970598784,0.0031885244970598784,0.05057928227261538,Uber,-8.49389959514161
2022-12-22,0.0023927461041368943,0.0013266985185652195,0.00048350369420294137,0.0007971295405093534,0.0007971295405093534,0.06155575065148104,Uber,-10.887152272403869
2022-12-23,0.0008308132109138137,8.29174712482783e-05,0.0008921006521308839,0.0007971295405093534,0.0007971295405093534,0.021266783060630373,Uber,-10.432571903409492
2022-12-27,0.0002658663125501142,0.0,0.0,0.0,0.0,0.03337268431422124,Uber,-10.791543362618853
2022-12-28,0.0,6.633018128009148e-05,0.00040859695792795636,0.0006310632618699853,0.0006310632618699853,0.034735037834674125,Uber,-9.603342044471082
2022-12-29,0.0017945595781026637,0.002238803354691454,0.0013279352424445806,0.0016939026492157898,0.0016939026492157898,0.0418988407718632,Uber,-7.673490897785948
2022-12-30,0.0006978863932405182,0.0004975111536872633,0.0011576838039628057,0.0010960539100781654,0.0010960539100781654,0.05067749382693931,Uber,-7.735357612890816
2023-01-03,0.003854979130153687,0.003482584402008395,0.0038135477944236384,0.0031885244970598784,0.0031885244970598784,0.0562556446759052,Uber,-4.968895026652634
2023-01-04,0.005051345843620366,0.004212267005669872,0.004835030447601002,0.005015278902182675,0.005015278902182675,0.03190415614044518,Uber,-2.5365821207851424
2023-01-05,0.005051345843620366,0.004344940020625173,0.005618167581332212,0.0038195814239074125,0.0038195814239074125,0.015732429256160287,Uber,-3.564286825515359
2023-01-06,0.0054833722629125245,0.00610281951159755,0.00510742625474353,0.006642752505933743,0.006642752505933743,0.047259001785724966,Uber,-0.1449926443411819
2023-01-09,0.010268851793982762,0.011111105628406571,0.011066090218610977,0.009964128758900613,0.009964128758900613,0.0655684889555135,Uber,3.8193382184851488
2023-01-10,0.010601178346068647,0.011774458050787941,0.011066090218610977,0.012089813868614688,0.012089813868614688,0.03388729958704697,Uber,6.306082434537965
2023-01-11,0.013392711241827168,0.012669981923143555,0.01368790392137545,0.013119438733228132,0.013119438733228132,0.03391384325037775,Uber,7.401282267503571
2023-01-12,0.015419897504809415,0.014875617024096188,0.014641292493588434,0.015377975598849198,0.015377975598849198,0.040854015824004906,Uber,9.80130400690938
2023-01-13,0.01485494426784396,0.015920394875177723,0.016207566761050854,0.016739739355763814,0.016739739355763814,0.03895382132531184,Uber,11.30996106178026
2023-01-17,0.017380617189654137,0.016849087001272158,0.01721202751759421,0.01594260981525446,0.01594260981525446,0.0518135626174972,Uber,10.283012290354097
2023-01-18,0.019075476900550514,0.017877277562385507,0.01697368199814804,0.015145473939722657,0.015145473939722657,0.06654761833662808,Uber,9.347661368229021
2023-01-19,0.014157057874603442,0.01520729323528688,0.01511798353248077,0.015377975598849198,0.015377975598849198,0.03467630997955475,Uber,9.42879677564566
2023-01-20,0.016915357481293202,0.018872299869760033,0.017773847522941588,0.019795405761894234,0.019795405761894234,0.05908718996171741,Uber,13.949708392332557
2023-01-23,0.021335283509810576,0.021260363529374975,0.021672511294963615,0.02036003997829951,0.02036003997829951,0.05587673388185814,Uber,13.998732963851076
2023-01-24,0.014289991030878507,0.021558871486826846,0.01569682543446216,0.018367212959514895,0.018367212959514895,0.030737562137056886,Uber,11.276351678014604
2023-01-25,0.016649497507344856,0.018905468123498855,0.016684257799943175,0.019562910437790158,0.019562910437790158,0.030816197739674357,Uber,12.095235398184517
2023-01-26,0.02100296329632646,0.019724704379635413,0.018420783505887384,0.018666137329083708,0.018666137329083708,0.06696700821725458,Uber,10.687774973857355
2023-01-27,0.0182446636896367,0.019558869437138842,0.019067725983261494,0.019795405761894234,0.019795405761894234,0.04321175671936248,Uber,11.47830110327285
2023-01-30,0.019906290111464314,0.01936981734964485,0.01937417207810037,0.017370796282611362,0.017370796282611362,0.04236800002123494,Uber,8.510946607847714
2023-01-31,0.018410823796378758,0.020762846049490174,0.01988491340468905,0.021688589212481766,0.021688589212481766,0.034543591662900795,Uber,12.626992858324815
2023-02-01,0.022166096720724376,0.02371475737027002,0.022949367858649497,0.023548558140336927,0.023548558140336927,0.05310723440908166,Uber,13.902987675725461
2023-02-02,0.027283902803880496,0.029087894278206093,0.029010176191177683,0.02872990332115897,0.02872990332115897,0.08907091206017981,Uber,18.389470336922052
2023-02-03,0.026453089592966682,0.030679932500484362,0.028090850895517702,0.028862761412088413,0.028862761412088413,0.0683648638874124,Uber,17.393155478032384
2023-02-06,0.030972715488690343,0.03154228179290359,0.030644564022889467,0.03155308073820775,0.03155308073820775,0.09421175605577091,Uber,19.06434876558262
2023-02-07,0.031404741907982515,0.0343615264249257,0.03238108323440533,0.03487445699117462,0.03487445699117462,0.1797457249771227,Uber,21.121681445746336
2023-02-08,0.04393340664982711,0.04271973658118291,0.03609248016573989,0.041284714173004285,0.041284714173004285,0.34638617977625025,Uber,26.042372839240834
2023-02-09,0.042138847071724446,0.041990047651323865,0.04000817882325258,0.03816261238638668,0.03816261238638668,0.12896272008844353,Uber,21.236344102845873
2023-02-10,0.033863954590256935,0.0354858941673458,0.034560249691545517,0.03288162363736755,0.03288162363736755,0.12188850201499586,Uber,14.612219621043796
2023-02-13,0.03419627480374104,0.03257047868021449,0.0321767815082272,0.030025238032608863,0.030025238032608863,0.0990188134849773,Uber,10.686933413378817
2023-02-14,0.029576955379412857,0.03535654873230023,0.03004528415497626,0.03597050456623035,0.03597050456623035,0.11166952342843266,Uber,15.276381865431759
